SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPEST_MALE,POPEST_FEM,AGE04_MALE,AGE04_FEM,AGE59_MALE,AGE59_FEM,AGE1014_MALE,AGE1014_FEM,AGE1519_MALE,AGE1519_FEM,AGE2024_MALE,AGE2024_FEM,AGE2529_MALE,AGE2529_FEM,AGE3034_MALE,AGE3034_FEM,AGE3539_MALE,AGE3539_FEM,AGE4044_MALE,AGE4044_FEM,AGE4549_MALE,AGE4549_FEM,AGE5054_MALE,AGE5054_FEM,AGE5559_MALE,AGE5559_FEM,AGE6064_MALE,AGE6064_FEM,AGE6569_MALE,AGE6569_FEM,AGE7074_MALE,AGE7074_FEM,AGE7579_MALE,AGE7579_FEM,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_MALE,AGE85PLUS_FEM
50,6,17,California,El Dorado County,8,92136,92433,4468,4223,5288,5027,5967,5635,5964,5497,5350,4825,4719,4292,4818,4585,4793,4859,5274,5315,6083,6330,7347,7763,8119,8436,7253,7476,6400,6451,4216,4420,2792,2890,1812,1993,1473,2416
50,6,17,California,El Dorado County,9,92659,93317,4464,4226,5176,4953,5970,5707,5851,5379,5154,4784,4785,4351,4846,4651,4970,5051,5126,5101,6105,6336,7129,7442,8151,8524,7391,7705,6777,6828,4425,4692,2938,3089,1855,1966,1546,2532
50,6,17,California,El Dorado County,10,93992,94687,4482,4284,5162,4957,6061,5775,5823,5314,5020,4678,5086,4579,4921,4690,5235,5345,5074,5136,6048,6233,6864,7095,8080,8500,7606,8138,6874,6799,4989,5250,3101,3289,1914,2032,1652,2593
50,6,17,California,El Dorado County,11,95065,95681,4458,4309,5244,4919,5995,5804,5802,5298,4929,4615,5139,4528,4985,4784,5390,5576,5198,5302,6092,6083,6589,6766,7907,8407,7833,8331,7078,7105,5295,5488,3377,3547,2014,2186,1740,2633
50,6,17,California,El Dorado County,12,96158,96685,4459,4402,5358,4933,5963,5730,5778,5310,4881,4600,5153,4569,5025,4915,5515,5709,5468,5485,5887,5862,6420,6587,7812,8265,7978,8475,7240,7310,5722,5787,3580,3779,2113,2335,1806,2632
50,6,19,California,Fresno County,4,468448,470958,40640,39098,38803,37175,38189,36650,39673,37541,39946,38280,36738,34639,32564,31597,29091,28342,28543,28483,28816,28883,28278,28838,24405,25599,20616,21852,14310,15568,9957,11740,7299,9519,5520,8116,5060,9038
50,6,19,California,Fresno County,5,471053,473992,40571,39012,39728,37664,37884,36289,38367,36635,40374,38920,36967,34685,33260,32446,29311,28382,28389,28601,28411,28375,28235,28929,24874,26049,20807,22176,15405,16757,10323,12233,7471,9564,5562,8008,5114,9267
50,6,19,California,Fresno County,6,474402,477112,40188,38727,40413,38261,37715,36501,37672,35953,40306,38761,37371,35103,34089,33069,29815,28827,28319,28408,28081,27904,28385,28931,25394,26530,21221,22666,16117,17677,10971,12838,7665,9702,5513,7945,5167,9309
50,6,19,California,Fresno County,7,479305,481262,40550,38950,40531,38514,37982,36729,37012,35485,40136,38337,38385,36132,34754,33459,30372,29490,28323,28164,27786,27603,28546,28977,25898,26870,21733,23238,17016,18504,11516,13504,7974,9947,5476,7867,5315,9492
50,6,19,California,Fresno County,8,483620,485868,40571,39022,40715,38824,38279,36931,36714,35589,39091,37383,39520,37448,35256,33613,31198,30447,28372,28120,27941,27510,28229,28601,26419,27170,22097,24027,18010,19439,12078,13995,8295,10219,5374,7851,5461,9679
50,6,19,California,Fresno County,9,487152,489678,40227,38613,41023,39339,38988,37437,36540,35354,37495,35954,40529,38623,35893,34185,32014,31218,28504,27912,28058,27765,27768,27994,26736,27690,22449,24362,18784,20443,12583,14442,8415,10598,5568,7820,5578,9929
50,6,19,California,Fresno County,10,491409,493829,39673,38124,41222,39590,40070,38134,36333,35125,36422,35127,41296,39432,36380,34504,32989,32215,28993,28272,28015,27890,27515,27558,26830,27876,23066,24792,18984,20792,13533,15581,8719,10984,5791,7905,5578,9928
50,6,19,California,Fresno County,11,494736,497214,39282,37652,41065,39617,40949,38709,36414,35335,35844,34619,41076,39335,36886,34881,33868,33015,29548,28725,27846,27792,27327,27229,26840,27997,23448,25205,19326,21201,14251,16341,9210,11592,5977,8065,5579,9904
50,6,19,California,Fresno County,12,498648,500453,38665,36886,41423,39800,40907,39069,36821,35564,35225,34241,41137,38993,37852,35979,34608,33561,30112,29477,27835,27524,27120,26880,26875,27874,23811,25427,19685,21747,15137,17162,9625,12141,6216,8281,5594,9847
50,6,21,California,Glenn County,4,14210,13929,1126,1039,1071,1032,1119,1042,1113,1022,955,875,924,864,886,831,799,801,829,831,918,919,966,954,959,921,791,755,577,562,458,472,318,367,210,314,191,328
50,6,21,California,Glenn County,5,14043,13808,1074,1008,1087,996,1081,1030,1108,1014,935,878,905,799,876,865,785,815,796,790,859,890,973,938,948,923,799,788,597,587,478,486,326,369,223,306,193,326
50,6,21,California,Glenn County,6,14043,13766,1048,983,1097,1009,1071,993,1082,1003,942,860,910,825,877,847,788,819,789,784,818,843,962,955,959,936,802,779,628,587,497,517,334,377,236,309,203,340
50,6,21,California,Glenn County,7,14046,13785,1068,944,1118,1055,1021,993,1084,1017,918,852,922,867,885,843,812,808,762,795,803,761,936,979,941,922,839,788,632,626,521,511,346,396,234,303,204,325
50,6,21,California,Glenn County,8,13998,13755,1042,929,1100,1054,1016,1037,1058,986,968,866,895,846,909,829,811,833,752,780,792,747,900,921,928,930,851,823,668,644,520,512,353,399,234,293,201,326
50,6,21,California,Glenn County,9,14115,13725,1025,948,1128,1008,1022,1026,1066,981,959,884,932,859,887,812,839,839,747,757,786,746,877,884,923,903,884,850,703,698,519,509,386,396,232,292,200,333
50,6,21,California,Glenn County,10,14175,13751,1058,956,1101,1010,1069,1037,1023,957,940,864,982,885,872,790,882,857,749,774,771,729,835,861,951,891,871,872,705,701,538,531,391,409,243,304,194,323
50,6,21,California,Glenn County,11,14217,13750,1062,944,1108,1005,1107,1076,1008,925,936,872,992,879,897,837,876,847,748,762,779,741,800,816,926,898,874,869,721,695,557,536,395,425,232,295,199,328
50,6,21,California,Glenn County,12,14462,13931,1054,932,1137,997,1120,1093,1012,960,968,888,994,888,972,869,902,848,797,758,745,781,798,758,918,964,883,881,763,705,550,559,412,429,244,300,193,321
50,6,23,California,Humboldt County,4,67846,67397,3932,3708,3753,3562,3705,3515,4807,4688,6304,6348,5265,4644,5080,4621,4315,3685,3872,3445,4067,4015,4714,4943,4987,5318,4877,4826,2935,3061,2040,2167,1305,1670,991,1429,897,1752
50,6,23,California,Humboldt County,5,67351,67221,3741,3597,3775,3620,3666,3525,4671,4583,6456,6590,4840,4304,5134,4662,4398,3825,3948,3426,3828,3795,4551,4735,4859,5257,4786,4878,3318,3370,2120,2225,1375,1669,967,1412,918,1748
50,6,23,California,Humboldt County,6,67164,67239,3757,3632,3826,3663,3577,3480,4587,4522,6491,6747,4599,4118,5110,4654,4465,3877,3987,3506,3643,3577,4463,4575,4761,5102,4783,5063,3576,3567,2224,2351,1417,1667,939,1403,959,1735
50,6,23,California,Humboldt County,7,67210,67284,3781,3630,3844,3593,3536,3511,4496,4442,6610,6784,4615,4115,4948,4591,4473,3994,4027,3613,3580,3417,4330,4376,4625,4965,4752,5075,3861,3948,2303,2467,1490,1698,919,1349,1020,1716
50,6,23,California,Humboldt County,8,67439,67663,3865,3616,3799,3594,3642,3506,4414,4425,6583,6690,4597,4302,4788,4477,4600,4178,4111,3617,3620,3348,4120,4159,4538,4938,4642,5107,4190,4272,2409,2632,1572,1777,948,1294,1001,1731
50,6,23,California,Humboldt County,9,67998,68292,3885,3586,3787,3635,3693,3540,4478,4519,6450,6583,4795,4514,4683,4342,4804,4452,4147,3640,3793,3426,3858,3921,4488,4825,4581,5072,4399,4581,2530,2752,1687,1847,943,1284,997,1773
50,6,23,California,Humboldt County,10,67987,68520,3854,3588,3667,3535,3725,3558,4453,4493,6391,6506,4941,4721,4489,4146,4866,4575,4308,3786,3846,3469,3710,3759,4352,4631,4478,5034,4293,4606,2916,3094,1732,1943,996,1304,970,1772
