STATE,COUNTY,STNAME,COUNTY_NAME,YEAR,AGEGRP,POPULATION,GENDER
6,3,California,Alpine,4,14,30,M
6,3,California,Alpine,4,15,18,M
6,3,California,Alpine,4,16,18,M
6,3,California,Alpine,4,17,3,M
6,3,California,Alpine,4,18,4,M
6,3,California,Alpine,4,99,641,M
6,3,California,Alpine,5,0,3,M
6,3,California,Alpine,5,1,27,M
6,3,California,Alpine,5,2,39,M
6,3,California,Alpine,5,3,37,M
6,3,California,Alpine,5,4,33,M
6,3,California,Alpine,5,5,47,M
6,3,California,Alpine,5,6,30,M
6,3,California,Alpine,5,7,29,M
6,3,California,Alpine,5,8,46,M
6,3,California,Alpine,5,9,47,M
6,3,California,Alpine,5,10,72,M
6,3,California,Alpine,5,11,69,M
6,3,California,Alpine,5,12,49,M
6,3,California,Alpine,5,13,40,M
6,3,California,Alpine,5,14,29,M
6,3,California,Alpine,5,15,22,M
6,3,California,Alpine,5,16,13,M
6,3,California,Alpine,5,17,6,M
6,3,California,Alpine,5,18,2,M
6,3,California,Alpine,5,99,640,M
6,3,California,Alpine,6,0,3,M
6,3,California,Alpine,6,1,24,M
6,3,California,Alpine,6,2,40,M
6,3,California,Alpine,6,3,38,M
6,3,California,Alpine,6,4,39,M
6,3,California,Alpine,6,5,47,M
6,3,California,Alpine,6,6,33,M
6,3,California,Alpine,6,7,27,M
6,3,California,Alpine,6,8,48,M
6,3,California,Alpine,6,9,48,M
6,3,California,Alpine,6,10,80,M
6,3,California,Alpine,6,11,63,M
6,3,California,Alpine,6,12,52,M
6,3,California,Alpine,6,13,32,M
6,3,California,Alpine,6,14,26,M
6,3,California,Alpine,6,15,23,M
6,3,California,Alpine,6,16,14,M
6,3,California,Alpine,6,17,6,M
6,3,California,Alpine,6,18,6,M
6,3,California,Alpine,6,99,649,M
6,3,California,Alpine,7,0,4,M
6,3,California,Alpine,7,1,33,M
6,3,California,Alpine,7,2,22,M
6,3,California,Alpine,7,3,34,M
6,3,California,Alpine,7,4,37,M
6,3,California,Alpine,7,5,37,M
6,3,California,Alpine,7,6,29,M
6,3,California,Alpine,7,7,27,M
6,3,California,Alpine,7,8,42,M
6,3,California,Alpine,7,9,40,M
6,3,California,Alpine,7,10,83,M
6,3,California,Alpine,7,11,72,M
6,3,California,Alpine,7,12,63,M
6,3,California,Alpine,7,13,36,M
6,3,California,Alpine,7,14,36,M
6,3,California,Alpine,7,15,18,M
6,3,California,Alpine,7,16,18,M
6,3,California,Alpine,7,17,7,M
6,3,California,Alpine,7,18,5,M
6,3,California,Alpine,7,99,643,M
6,3,California,Alpine,8,0,4,M
6,3,California,Alpine,8,1,33,M
6,3,California,Alpine,8,2,37,M
6,3,California,Alpine,8,3,35,M
6,3,California,Alpine,8,4,34,M
6,3,California,Alpine,8,5,39,M
6,3,California,Alpine,8,6,27,M
6,3,California,Alpine,8,7,30,M
6,3,California,Alpine,8,8,48,M
6,3,California,Alpine,8,9,38,M
6,3,California,Alpine,8,10,74,M
6,3,California,Alpine,8,11,81,M
6,3,California,Alpine,8,12,58,M
6,3,California,Alpine,8,13,43,M
6,3,California,Alpine,8,14,26,M
6,3,California,Alpine,8,15,19,M
6,3,California,Alpine,8,16,19,M
6,3,California,Alpine,8,17,6,M
6,3,California,Alpine,8,18,2,M
6,3,California,Alpine,8,99,653,M
6,3,California,Alpine,9,0,4,M
6,3,California,Alpine,9,1,32,M
6,3,California,Alpine,9,2,35,M
6,3,California,Alpine,9,3,34,M
6,3,California,Alpine,9,4,32,M
6,3,California,Alpine,9,5,39,M
6,3,California,Alpine,9,6,28,M
6,3,California,Alpine,9,7,22,M
6,3,California,Alpine,9,8,42,M
6,3,California,Alpine,9,9,40,M
6,3,California,Alpine,9,10,68,M
6,3,California,Alpine,9,11,65,M
6,3,California,Alpine,9,12,72,M
6,3,California,Alpine,9,13,50,M
6,3,California,Alpine,9,14,27,M
6,3,California,Alpine,9,15,23,M
6,3,California,Alpine,9,16,23,M
6,3,California,Alpine,9,17,7,M
6,3,California,Alpine,9,18,2,M
6,3,California,Alpine,9,99,645,M
6,3,California,Alpine,10,0,4,M
6,3,California,Alpine,10,1,25,M
6,3,California,Alpine,10,2,34,M
6,3,California,Alpine,10,3,29,M
6,3,California,Alpine,10,4,28,M
6,3,California,Alpine,10,5,32,M
6,3,California,Alpine,10,6,26,M
6,3,California,Alpine,10,7,22,M
6,3,California,Alpine,10,8,40,M
6,3,California,Alpine,10,9,43,M
6,3,California,Alpine,10,10,63,M
6,3,California,Alpine,10,11,70,M
6,3,California,Alpine,10,12,58,M
6,3,California,Alpine,10,13,60,M
6,3,California,Alpine,10,14,29,M
6,3,California,Alpine,10,15,22,M
6,3,California,Alpine,10,16,25,M
6,3,California,Alpine,10,17,8,M
6,3,California,Alpine,10,18,5,M
6,3,California,Alpine,10,99,623,M
6,3,California,Alpine,11,0,4,M
6,3,California,Alpine,11,1,37,M
6,3,California,Alpine,11,2,33,M
6,3,California,Alpine,11,3,27,M
6,3,California,Alpine,11,4,30,M
6,3,California,Alpine,11,5,32,M
6,3,California,Alpine,11,6,23,M
6,3,California,Alpine,11,7,25,M
6,3,California,Alpine,11,8,35,M
6,3,California,Alpine,11,9,41,M
6,3,California,Alpine,11,10,60,M
6,3,California,Alpine,11,11,76,M
6,3,California,Alpine,11,12,57,M
6,3,California,Alpine,11,13,58,M
6,3,California,Alpine,11,14,28,M
6,3,California,Alpine,11,15,19,M
6,3,California,Alpine,11,16,25,M
6,3,California,Alpine,11,17,7,M
6,3,California,Alpine,11,18,4,M
6,3,California,Alpine,11,99,621,M
6,3,California,Alpine,12,0,4,M
6,3,California,Alpine,12,1,36,M
6,3,California,Alpine,12,2,36,M
6,3,California,Alpine,12,3,26,M
6,3,California,Alpine,12,4,29,M
6,3,California,Alpine,12,5,31,M
6,3,California,Alpine,12,6,22,M
6,3,California,Alpine,12,7,20,M
6,3,California,Alpine,12,8,34,M
6,3,California,Alpine,12,9,40,M
6,3,California,Alpine,12,10,52,M
6,3,California,Alpine,12,11,59,M
6,3,California,Alpine,12,12,70,M
6,3,California,Alpine,12,13,57,M
6,3,California,Alpine,12,14,37,M
6,3,California,Alpine,12,15,20,M
6,3,California,Alpine,12,16,21,M
6,3,California,Alpine,12,17,8,M
6,3,California,Alpine,12,18,4,M
6,3,California,Alpine,12,99,606,M
6,3,California,Alpine,13,0,2,M
6,3,California,Alpine,13,1,35,M
6,3,California,Alpine,13,2,31,M
6,3,California,Alpine,13,3,24,M
6,3,California,Alpine,13,4,39,M
6,3,California,Alpine,13,5,25,M
6,3,California,Alpine,13,6,22,M
6,3,California,Alpine,13,7,15,M
